epoch,accuracy,loss
0,0.78241676,0.47497616655383235
1,0.87603456,0.311005779563098
2,0.89589846,0.2640099969334696
3,0.9192569,0.2139907063029368
4,0.9497885,0.16648779117380824
5,0.96634173,0.1188636750341865
6,0.9808718,0.08064990177413482
7,0.98694134,0.05761411519272704
8,0.99245906,0.04118581893186655
9,0.99429834,0.030768250600832756
10,0.99613756,0.02099215616234824
11,0.9974251,0.015454915963597726
12,0.9977929,0.012993097864057137
13,0.9981608,0.010134014876890658
14,0.99871254,0.00820383754106989
15,0.99871254,0.00667859340249822
16,0.9988965,0.005830648499971788
17,0.9988965,0.004953086543179904
18,0.99908036,0.004369196114192841
19,0.99908036,0.0037286502550838625
